date,season,home_team,away_team,home_goals,away_goals,total_goals,q_over25,odds_over25,ev,over25
2023-08-12,2023-2024,Sheffield United,Crystal Palace,0.0,1.0,1.0,0.5198627080528949,2.2,0.14369795771636884,0
2023-08-12,2023-2024,Everton,Fulham,0.0,1.0,1.0,0.5198627080528949,2.01,0.04492404318631871,0
2023-08-18,2023-2024,Nott'm Forest,Sheffield United,2.0,1.0,3.0,0.5198627080528949,2.2,0.14369795771636884,1
2023-08-26,2023-2024,Everton,Wolves,0.0,1.0,1.0,0.5198627080528949,2.1,0.09171168691107945,0
2023-08-26,2023-2024,Brentford,Crystal Palace,1.0,1.0,2.0,0.5198627080528949,2.1,0.09171168691107945,0
2023-09-02,2023-2024,Sheffield United,Everton,2.0,2.0,4.0,0.5198627080528949,2.2,0.14369795771636884,1
2023-09-03,2023-2024,Crystal Palace,Wolves,3.0,2.0,5.0,0.5198627080528949,2.2,0.14369795771636884,1
2023-09-23,2023-2024,Crystal Palace,Fulham,0.0,0.0,0.0,0.5198627080528949,2.0,0.039725416105789835,0
2023-09-23,2023-2024,Luton,Wolves,1.0,1.0,2.0,0.5198627080528949,2.02,0.0501226702668478,0
2023-09-30,2023-2024,Everton,Luton,1.0,2.0,3.0,0.5198627080528949,2.05,0.06571855150843442,1
2023-10-01,2023-2024,Nott'm Forest,Brentford,1.0,1.0,2.0,0.5198627080528949,2.1,0.09171168691107945,0
2023-10-02,2023-2024,Fulham,Chelsea,0.0,2.0,2.0,0.5198627080528949,1.98,0.029328161944731868,0
2023-10-03,2023-2024,Luton,Burnley,1.0,2.0,3.0,0.5198627080528949,2.2,0.14369795771636884,1
2023-10-07,2023-2024,Crystal Palace,Nott'm Forest,0.0,0.0,0.0,0.5198627080528949,2.25,0.16969109311901365,0
2023-10-21,2023-2024,Nott'm Forest,Luton,2.0,2.0,4.0,0.5198627080528949,2.08,0.08131443275002148,1
2023-10-21,2023-2024,Chelsea,Arsenal,2.0,2.0,4.0,0.5198627080528949,1.98,0.029328161944731868,1
2023-11-04,2023-2024,Burnley,Crystal Palace,0.0,2.0,2.0,0.5198627080528949,2.2,0.14369795771636884,0
2023-11-11,2023-2024,Crystal Palace,Everton,2.0,3.0,5.0,0.5198627080528949,2.25,0.16969109311901365,1
2023-11-25,2023-2024,Luton,Crystal Palace,2.0,1.0,3.0,0.5198627080528949,2.15,0.11770482231372403,1
2023-11-27,2023-2024,Fulham,Wolves,3.0,2.0,5.0,0.5198627080528949,2.08,0.08131443275002148,1
2023-12-02,2023-2024,Burnley,Sheffield United,5.0,0.0,5.0,0.5198627080528949,2.06,0.07091717858896351,1
2023-12-02,2023-2024,Nott'm Forest,Everton,0.0,1.0,1.0,0.5198627080528949,2.05,0.06571855150843442,0
2023-12-03,2023-2024,West Ham,Crystal Palace,1.0,1.0,2.0,0.5198627080528949,2.04,0.06051992442790555,0
2023-12-05,2023-2024,Wolves,Burnley,1.0,0.0,1.0,0.5198627080528949,2.05,0.06571855150843442,0
2023-12-06,2023-2024,Crystal Palace,Bournemouth,0.0,2.0,2.0,0.5198627080528949,2.01,0.04492404318631871,0
2023-12-06,2023-2024,Fulham,Nott'm Forest,5.0,0.0,5.0,0.5198627080528949,2.06,0.07091717858896351,1
2023-12-09,2023-2024,Wolves,Nott'm Forest,1.0,1.0,2.0,0.5198627080528949,2.06,0.07091717858896351,0
2023-12-16,2023-2024,Burnley,Everton,0.0,2.0,2.0,0.5198627080528949,2.05,0.06571855150843442,0
2023-12-21,2023-2024,Crystal Palace,Brighton,1.0,1.0,2.0,0.5198627080528949,1.99,0.03452678902526096,0
2023-12-26,2023-2024,Sheffield United,Luton,2.0,3.0,5.0,0.5198627080528949,2.1,0.09171168691107945,1
2023-12-27,2023-2024,Brentford,Wolves,1.0,4.0,5.0,0.5198627080528949,2.03,0.055321297347376674,1
2023-12-30,2023-2024,Wolves,Everton,3.0,0.0,3.0,0.5198627080528949,2.05,0.06571855150843442,1
2023-12-30,2023-2024,Crystal Palace,Brentford,3.0,1.0,4.0,0.5198627080528949,2.15,0.11770482231372403,1
2024-01-12,2023-2024,Burnley,Luton,1.0,1.0,2.0,0.5198627080528949,1.99,0.03452678902526096,0
2024-01-21,2023-2024,Sheffield United,West Ham,2.0,2.0,4.0,0.5198627080528949,2.05,0.06571855150843442,1
2024-01-30,2023-2024,Fulham,Everton,0.0,0.0,0.0,0.5198627080528949,2.05,0.06571855150843442,0
2024-01-30,2023-2024,Crystal Palace,Sheffield United,3.0,2.0,5.0,0.5198627080528949,2.08,0.08131443275002148,1
2024-02-03,2023-2024,Burnley,Fulham,2.0,2.0,4.0,0.5198627080528949,1.99,0.03452678902526096,1
2024-02-19,2023-2024,Everton,Crystal Palace,1.0,1.0,2.0,0.5198627080528949,2.1,0.09171168691107945,0
2024-02-24,2023-2024,Crystal Palace,Burnley,3.0,0.0,3.0,0.5198627080528949,2.1,0.09171168691107945,1
2024-03-30,2023-2024,Nott'm Forest,Crystal Palace,1.0,1.0,2.0,0.5198627080528949,2.08,0.08131443275002148,0
2024-08-24,2024-2025,Southampton,Nott'm Forest,0.0,1.0,1.0,0.5198627080528949,2.01,0.04492404318631871,0
2024-09-22,2024-2025,Man City,Arsenal,2.0,2.0,4.0,0.5198627080528949,2.04,0.06051992442790555,1
2024-09-28,2024-2025,Nott'm Forest,Fulham,0.0,1.0,1.0,0.5198627080528949,2.02,0.0501226702668478,0
2024-10-21,2024-2025,Nott'm Forest,Crystal Palace,1.0,0.0,1.0,0.5198627080528949,2.1,0.09171168691107945,0
2024-10-25,2024-2025,Leicester,Nott'm Forest,1.0,3.0,4.0,0.5198627080528949,2.0,0.039725416105789835,1
2024-11-10,2024-2025,Nott'm Forest,Newcastle,1.0,3.0,4.0,0.5198627080528949,1.97,0.024129534864202995,1
2024-12-03,2024-2025,Ipswich,Crystal Palace,0.0,1.0,1.0,0.5198627080528949,2.01,0.04492404318631871,0
2024-12-04,2024-2025,Everton,Wolves,4.0,0.0,4.0,0.5198627080528949,2.03,0.055321297347376674,1
2024-12-29,2024-2025,Everton,Nott'm Forest,0.0,2.0,2.0,0.5198627080528949,2.2,0.14369795771636884,0
2025-01-06,2024-2025,Wolves,Nott'm Forest,0.0,3.0,3.0,0.5198627080528949,2.1,0.09171168691107945,1
2025-01-15,2024-2025,Everton,Aston Villa,0.0,1.0,1.0,0.5198627080528949,2.08,0.08131443275002148,0
2025-02-01,2024-2025,Everton,Leicester,4.0,0.0,4.0,0.5198627080528949,2.04,0.06051992442790555,1
2025-02-15,2024-2025,Fulham,Nott'm Forest,2.0,1.0,3.0,0.5198627080528949,2.1,0.09171168691107945,1
2025-02-15,2024-2025,Crystal Palace,Everton,1.0,2.0,3.0,0.5198627080528949,2.2,0.14369795771636884,1
2025-02-22,2024-2025,Everton,Man United,2.0,2.0,4.0,0.5198627080528949,2.2,0.14369795771636884,1
2025-02-22,2024-2025,Fulham,Crystal Palace,0.0,2.0,2.0,0.5198627080528949,2.02,0.0501226702668478,0
2025-02-25,2024-2025,Wolves,Fulham,1.0,2.0,3.0,0.5198627080528949,2.05,0.06571855150843442,1
2025-02-26,2024-2025,Nott'm Forest,Arsenal,0.0,0.0,0.0,0.5198627080528949,2.2,0.14369795771636884,0
2025-03-08,2024-2025,Wolves,Everton,1.0,1.0,2.0,0.5198627080528949,2.3,0.19568422852165823,0
2025-03-09,2024-2025,Man United,Arsenal,1.0,1.0,2.0,0.5198627080528949,2.15,0.11770482231372403,0
2025-03-15,2024-2025,Everton,West Ham,1.0,1.0,2.0,0.5198627080528949,2.3,0.19568422852165823,0
2025-04-01,2024-2025,Wolves,West Ham,1.0,0.0,1.0,0.5198627080528949,2.2,0.14369795771636884,0
2025-04-01,2024-2025,Arsenal,Fulham,2.0,1.0,3.0,0.5198627080528949,2.1,0.09171168691107945,1
2025-04-05,2024-2025,Ipswich,Wolves,1.0,2.0,3.0,0.5198627080528949,2.1,0.09171168691107945,1
2025-04-05,2024-2025,Everton,Arsenal,1.0,1.0,2.0,0.5198627080528949,2.38,0.23727324516588988,0
2025-04-12,2024-2025,Nott'm Forest,Everton,0.0,1.0,1.0,0.5198627080528949,2.2,0.14369795771636884,0
2025-04-20,2024-2025,Man United,Wolves,0.0,1.0,1.0,0.5198627080528949,1.97,0.024129534864202995,0
2025-05-05,2024-2025,Crystal Palace,Nott'm Forest,1.0,1.0,2.0,0.5198627080528949,2.01,0.04492404318631871,0
2025-05-10,2024-2025,Fulham,Everton,1.0,3.0,4.0,0.5198627080528949,2.0,0.039725416105789835,1
2025-05-18,2024-2025,West Ham,Nott'm Forest,1.0,2.0,3.0,0.5198627080528949,1.98,0.029328161944731868,1
2025-05-20,2024-2025,Crystal Palace,Wolves,4.0,2.0,6.0,0.5198627080528949,2.02,0.0501226702668478,1
