date,home_team,away_team,home_goals,away_goals,total_goals,over25,season,odds_over25_bet,odds_under25_bet,odds_over25_ref_close,odds_under25_ref_close,odds_over25_bet_close,odds_under25_bet_close,has_ref_close,odds_over25,odds_under25,odds_over25_close,odds_under25_close,source_file
2010-08-14,Aston Villa,West Ham,3.0,0.0,3.0,1,2010-2011,2.01,1.75,,,,,0,2.01,1.75,,,E0(14).csv
2010-08-14,Blackburn,Everton,1.0,0.0,1.0,0,2010-2011,2.08,1.7,,,,,0,2.08,1.7,,,E0(14).csv
2010-08-14,Bolton,Fulham,0.0,0.0,0.0,0,2010-2011,2.09,1.69,,,,,0,2.09,1.69,,,E0(14).csv
2010-08-14,Chelsea,West Brom,6.0,0.0,6.0,1,2010-2011,1.49,2.49,,,,,0,1.49,2.49,,,E0(14).csv
2010-08-14,Sunderland,Birmingham,2.0,2.0,4.0,1,2010-2011,2.16,1.65,,,,,0,2.16,1.65,,,E0(14).csv
2010-08-14,Tottenham,Man City,0.0,0.0,0.0,0,2010-2011,1.91,1.84,,,,,0,1.91,1.84,,,E0(14).csv
2010-08-14,Wigan,Blackpool,0.0,4.0,4.0,1,2010-2011,2.11,1.68,,,,,0,2.11,1.68,,,E0(14).csv
2010-08-14,Wolves,Stoke,2.0,1.0,3.0,1,2010-2011,2.25,1.6,,,,,0,2.25,1.6,,,E0(14).csv
2010-08-15,Liverpool,Arsenal,1.0,1.0,2.0,0,2010-2011,2.21,1.62,,,,,0,2.21,1.62,,,E0(14).csv
2010-08-16,Man United,Newcastle,3.0,0.0,3.0,1,2010-2011,1.72,2.05,,,,,0,1.72,2.05,,,E0(14).csv
2010-08-21,Arsenal,Blackpool,6.0,0.0,6.0,1,2010-2011,1.42,2.69,,,,,0,1.42,2.69,,,E0(14).csv
2010-08-21,Birmingham,Blackburn,2.0,1.0,3.0,1,2010-2011,2.27,1.59,,,,,0,2.27,1.59,,,E0(14).csv
2010-08-21,Everton,Wolves,1.0,1.0,2.0,0,2010-2011,1.94,1.81,,,,,0,1.94,1.81,,,E0(14).csv
2010-08-21,Stoke,Tottenham,1.0,2.0,3.0,1,2010-2011,2.18,1.64,,,,,0,2.18,1.64,,,E0(14).csv
2010-08-21,West Brom,Sunderland,1.0,0.0,1.0,0,2010-2011,2.11,1.69,,,,,0,2.11,1.69,,,E0(14).csv
2010-08-21,West Ham,Bolton,1.0,3.0,4.0,1,2010-2011,1.99,1.77,,,,,0,1.99,1.77,,,E0(14).csv
2010-08-21,Wigan,Chelsea,0.0,6.0,6.0,1,2010-2011,1.61,2.2,,,,,0,1.61,2.2,,,E0(14).csv
2010-08-22,Fulham,Man United,2.0,2.0,4.0,1,2010-2011,1.94,1.82,,,,,0,1.94,1.82,,,E0(14).csv
2010-08-22,Newcastle,Aston Villa,6.0,0.0,6.0,1,2010-2011,2.11,1.69,,,,,0,2.11,1.69,,,E0(14).csv
2010-08-23,Man City,Liverpool,3.0,0.0,3.0,1,2010-2011,2.2,1.62,,,,,0,2.2,1.62,,,E0(14).csv
