date,season,home_team,away_team,home_goals,away_goals,total_goals,q_over25,p_mkt_over,odds_over25,odds_under25,odds_over25_close,odds_under25_close,ev,over25
2023-08-19,2023-2024,Man City,Newcastle,1.0,0.0,1.0,0.6035011246986687,0.5483028720626633,1.73,2.1,1.85,2.05,0.044056945728696784,0
2023-09-23,2023-2024,Man City,Nott'm Forest,2.0,0.0,2.0,0.7293312791124744,0.6818181818181818,1.4,3.0,1.5,2.63,0.02106379075746423,0
2023-09-24,2023-2024,Arsenal,Tottenham,2.0,2.0,4.0,0.6935955376593085,0.6368038740920097,1.5,2.63,1.53,2.5,0.04039330648896278,1
2023-10-08,2023-2024,Arsenal,Man City,1.0,0.0,1.0,0.58804545212614,0.5394736842105263,1.75,2.05,2.08,1.82,0.029079541220744964,0
2023-11-04,2023-2024,Newcastle,Arsenal,1.0,0.0,1.0,0.5452368088968926,0.5,1.95,1.95,2.1,1.7,0.06321177734894068,0
2023-12-23,2023-2024,Liverpool,Arsenal,1.0,1.0,2.0,0.6269095896357193,0.5526315789473685,1.7,2.1,1.6,2.3,0.06574630238072277,0
2024-03-31,2023-2024,Man City,Arsenal,0.0,0.0,0.0,0.6440874983693871,0.5526315789473685,1.7,2.1,1.8,2.0,0.09494874722795799,0
2024-08-19,2024-2025,Leicester,Tottenham,1.0,1.0,2.0,0.6806215036789487,0.6203473945409429,1.53,2.5,1.57,2.38,0.04135090062879154,0
2024-09-15,2024-2025,Tottenham,Arsenal,0.0,1.0,1.0,0.670495538664722,0.6025316455696202,1.57,2.38,1.62,2.3,0.052677995703613645,0
2024-09-22,2024-2025,Man City,Arsenal,2.0,2.0,4.0,0.6440874983693871,0.4769230769230769,2.04,1.86,2.05,1.85,0.31393849667354967,1
2024-09-28,2024-2025,Arsenal,Leicester,4.0,2.0,6.0,0.6983637848317501,0.6368038740920097,1.5,2.63,1.57,2.38,0.04754567724762504,1
2024-10-19,2024-2025,Southampton,Leicester,2.0,3.0,5.0,0.5924251372375001,0.5483028720626633,1.73,2.1,1.73,2.1,0.024895487420875106,1
2024-10-25,2024-2025,Leicester,Nott'm Forest,1.0,3.0,4.0,0.5754131501048166,0.47368421052631576,2.0,1.8,2.01,1.89,0.15082630020963328,1
2024-10-27,2024-2025,Arsenal,Liverpool,2.0,2.0,4.0,0.6088661635842363,0.5076923076923077,1.92,1.98,1.84,1.94,0.16902303408173358,1
2024-11-23,2024-2025,Arsenal,Nott'm Forest,3.0,0.0,3.0,0.651718936604603,0.5263157894736842,1.8,2.0,1.87,2.03,0.17309408588828545,1
2024-12-04,2024-2025,Man City,Nott'm Forest,3.0,0.0,3.0,0.7293312791124744,0.6025316455696202,1.57,2.38,1.44,2.75,0.14505010820658493,1
2024-12-26,2024-2025,Man City,Everton,1.0,1.0,2.0,0.6779258700876599,0.6203473945409429,1.53,2.5,1.5,2.63,0.037226581234119704,0
2025-01-18,2024-2025,Arsenal,Aston Villa,2.0,2.0,4.0,0.5621041334378233,0.5205128205128204,1.87,2.03,1.73,2.1,0.05113472952872966,1
2025-02-01,2024-2025,Everton,Leicester,4.0,0.0,4.0,0.5019805793488897,0.4769230769230769,2.04,1.86,2.3,1.62,0.024040381871735184,1
2025-02-15,2024-2025,Leicester,Arsenal,0.0,2.0,2.0,0.6464930958885942,0.5483028720626633,1.73,2.1,1.73,2.1,0.11843305588726794,0
2025-02-22,2024-2025,Arsenal,West Ham,0.0,1.0,1.0,0.6149891587296988,0.5684754521963824,1.67,2.2,1.84,2.06,0.027031895078597046,0
2025-02-26,2024-2025,Nott'm Forest,Arsenal,0.0,0.0,0.0,0.5634730453986061,0.43152454780361754,2.2,1.67,2.2,1.67,0.2396406998769336,0
2025-03-09,2024-2025,Man United,Arsenal,1.0,1.0,2.0,0.5556876502268695,0.4297082228116711,2.15,1.62,2.0,1.8,0.19472844798776934,0
2025-04-01,2024-2025,Arsenal,Fulham,2.0,1.0,3.0,0.5745801362365437,0.4516971279373368,2.1,1.73,2.07,1.83,0.20661828609674182,1
2025-04-02,2024-2025,Man City,Leicester,2.0,0.0,2.0,0.7484061136774052,0.6818181818181818,1.4,3.0,1.36,3.2,0.047768559148367196,0
2025-04-02,2024-2025,Liverpool,Everton,1.0,0.0,1.0,0.616439890577199,0.5483028720626633,1.73,2.1,1.86,2.04,0.06644101069855424,0
2025-04-05,2024-2025,Everton,Arsenal,1.0,1.0,2.0,0.5213778211032948,0.39746835443037976,2.38,1.57,2.38,1.57,0.24087921422584158,0
2025-04-19,2024-2025,Everton,Man City,0.0,2.0,2.0,0.5562483914183769,0.523076923076923,1.86,2.04,1.86,2.04,0.03462200803818116,0
2025-04-23,2024-2025,Arsenal,Crystal Palace,2.0,2.0,4.0,0.538462837946888,0.5102564102564103,1.91,1.99,1.73,2.1,0.028464020478556007,1
2025-05-03,2024-2025,Arsenal,Bournemouth,1.0,2.0,3.0,0.6638396981529365,0.5205128205128204,1.87,2.03,1.67,2.2,0.2413802355459913,1
2025-05-03,2024-2025,Leicester,Southampton,2.0,0.0,2.0,0.6365472537510882,0.549597855227882,1.68,2.05,1.73,2.1,0.06939938630182829,0
2025-05-11,2024-2025,Liverpool,Arsenal,2.0,2.0,4.0,0.6269095896357193,0.5483028720626633,1.73,2.1,1.62,2.3,0.08455359006979446,1
2025-05-20,2024-2025,Man City,Bournemouth,3.0,1.0,4.0,0.7459457139187917,0.6203473945409429,1.53,2.5,1.5,2.63,0.1412969422957513,1
