date,test_season,home_team,away_team,p_ref,p_model,p_blend,q_over25,odds_taken,odds_close,odds_taken_under,odds_close_under,has_close,ev,over25
2019-08-17,2019-2020,Aston Villa,Bournemouth,0.5765306122448979,0.4919680005954989,0.5765301081789252,0.4919680005954989,1.8,1.66,2.0,2.26,1,0.037754194722065426,1
2019-10-06,2019-2020,Southampton,Chelsea,0.6084788029925187,0.49256259235939537,0.6084781120321009,0.49256259235939537,1.72,1.57,2.1,2.44,1,0.0465823526952136,1
2019-10-19,2019-2020,Leicester,Burnley,0.5529715762273902,0.4762256875648164,0.5529711187558165,0.4762256875648164,1.9,1.73,1.9,2.14,1,0.05064512563605139,1
2019-10-27,2019-2020,Liverpool,Tottenham,0.6697674418604651,0.6100775515242572,0.6697670860573264,0.6100775515242572,1.53,1.42,2.5,2.88,1,0.02474364166770937,1
2019-11-10,2019-2020,Liverpool,Man City,0.6178660049627792,0.659625647689749,0.6178662538862043,0.659625647689749,1.66,1.54,2.2,2.49,1,0.0256579814510991,1
2019-11-25,2019-2020,Aston Villa,Newcastle,0.548051948051948,0.3541032787508375,0.5480507919508918,0.3541032787508375,1.9,1.74,1.9,2.11,1,0.04129650470669444,0
2019-12-01,2019-2020,Man United,Aston Villa,0.6144278606965174,0.5818854514539427,0.6144276667157398,0.5818854514539427,1.72,1.55,2.1,2.47,1,0.056815586751072455,1
2019-12-26,2019-2020,Leicester,Liverpool,0.6203473945409429,0.6875514086093388,0.6203477951347285,0.6875514086093388,1.66,1.53,2.2,2.5,1,0.02977733992364917,1
2020-02-22,2019-2020,Crystal Palace,Newcastle,0.4183673469387755,0.4570916226443327,0.41836757776879974,0.4570916226443327,2.5,2.28,1.53,1.64,1,0.0459189444219994,0
2020-02-29,2019-2020,Newcastle,Burnley,0.4595300261096606,0.32060128689378964,0.45952919797475905,0.32060128689378964,2.3,2.07,1.61,1.76,1,0.056917155341945636,0
2020-06-24,2019-2020,Newcastle,Aston Villa,0.48825065274151447,0.4369524292288332,0.48825034695993524,0.4369524292288332,2.1,1.96,1.72,1.87,1,0.02532572861586413,0
2020-07-01,2019-2020,Arsenal,Norwich,0.595959595959596,0.7180214012807957,0.5959603235530493,0.7180214012807957,1.72,1.6,2.1,2.36,1,0.025051756511244694,1
2020-07-13,2019-2020,Man United,Southampton,0.6425120772946861,0.43970102687324636,0.6425108683662079,0.43970102687324636,1.61,1.48,2.3,2.66,1,0.03444249806959476,1
2020-07-16,2019-2020,Southampton,Brighton,0.48825065274151447,0.3830005320505608,0.4882500253601762,0.3830005320505608,2.1,1.96,1.72,1.87,1,0.025325053256370023,0
2020-07-20,2019-2020,Brighton,Newcastle,0.5026178010471204,0.3442219144481829,0.5026168568712595,0.3442219144481829,2.1,1.9,1.72,1.92,1,0.05549539942964499,0
2020-07-26,2019-2020,Man City,Norwich,0.836231884057971,0.788056585020334,0.8362315968917104,0.788056585020334,1.22,1.13,4.33,5.77,1,0.020202548207886695,1
2020-09-20,2020-2021,Newcastle,Brighton,0.4318766066838046,0.35522437094509485,0.4317630971997641,0.35522437094509485,2.37,2.21,1.57,1.68,1,0.023278540363441014,1
2020-09-26,2020-2021,Brighton,Man United,0.5629820051413882,0.4354270825359472,0.5627931170637968,0.4354270825359472,1.9,1.7,1.9,2.19,1,0.06930692242121372,1
2020-09-26,2020-2021,Burnley,Southampton,0.4947643979057591,0.4741921589318715,0.49473393376849056,0.4741921589318715,2.1,1.93,1.72,1.89,1,0.03894126091383021,0
2020-09-28,2020-2021,Liverpool,Arsenal,0.6781609195402298,0.6814634998217175,0.6781658101240483,0.6814634998217175,1.53,1.4,2.5,2.95,1,0.03759368948979391,1
2020-10-03,2020-2021,Newcastle,Burnley,0.4583333333333333,0.3995486562459048,0.45824628279525864,0.3995486562459048,2.3,2.08,1.61,1.76,1,0.05396645042909487,1
2020-10-26,2020-2021,Burnley,Tottenham,0.5569948186528497,0.503811509437822,0.5569160628288299,0.503811509437822,1.9,1.71,1.9,2.15,1,0.05814051937477682,0
2020-11-23,2020-2021,Burnley,Crystal Palace,0.42199488491048587,0.49765392748760523,0.4221069236371214,0.49765392748760523,2.5,2.26,1.53,1.65,1,0.05526730909280353,0
2020-12-06,2020-2021,West Brom,Crystal Palace,0.4699738903394256,0.4068485791175776,0.46988041202874575,0.4068485791175776,2.2,2.03,1.66,1.8,1,0.03373690646324068,1
2020-12-13,2020-2021,Arsenal,Burnley,0.5532467532467532,0.6624812168565485,0.5534085117066899,0.6624812168565485,1.9,1.72,1.9,2.13,1,0.05147617224271084,0
2020-12-19,2020-2021,Newcastle,Fulham,0.49081364829396334,0.4839037642718547,0.4908034158804849,0.4839037642718547,2.1,1.94,1.72,1.87,1,0.030687173349018382,0
2020-12-26,2020-2021,Arsenal,Chelsea,0.5326370757180157,0.6018929270478875,0.5327396323606952,0.6018929270478875,1.95,1.79,1.95,2.04,1,0.03884228310335569,1
2020-12-29,2020-2021,Southampton,West Ham,0.5442708333333333,0.5414788170319451,0.5442666988116621,0.5414788170319451,1.94,1.75,1.96,2.09,1,0.055877395694624576,0
2020-12-29,2020-2021,Man United,Wolves,0.5532467532467532,0.45882668440356444,0.5531069324940489,0.45882668440356444,1.96,1.72,1.94,2.13,1,0.08408958768833563,0
2021-01-04,2020-2021,Southampton,Liverpool,0.6587677725118484,0.5731224691651202,0.6586409457585294,0.5731224691651202,1.61,1.44,2.3,2.78,1,0.0604119226712323,0
2021-01-17,2020-2021,Liverpool,Man United,0.6212871287128713,0.567608704849705,0.62120763970465,0.567608704849705,1.66,1.53,2.2,2.51,1,0.031204681909718923,0
2021-01-19,2020-2021,West Ham,West Brom,0.5416666666666667,0.4551005252584014,0.5415384763020683,0.4551005252584014,1.9,1.76,1.9,2.08,1,0.028923104973929803,1
2021-01-28,2020-2021,Tottenham,Liverpool,0.5816326530612244,0.48652722801484166,0.5814918174075421,0.48652722801484166,1.8,1.64,2.0,2.28,1,0.046685271333575695,1
2021-01-30,2020-2021,Everton,Newcastle,0.5248041775456919,0.40851806062961016,0.5246319767350435,0.40851806062961016,2.0,1.82,1.8,2.01,1,0.04926395347008694,0
2021-02-02,2020-2021,Newcastle,Crystal Palace,0.46354166666666663,0.4342106182209827,0.46349823215828795,0.4342106182209827,2.3,2.06,1.61,1.78,1,0.06604593396406222,1
2021-02-06,2020-2021,Newcastle,Southampton,0.518324607329843,0.42056416208038094,0.5181798400234116,0.42056416208038094,2.0,1.84,1.8,1.98,1,0.036359680046823106,1
2021-02-13,2020-2021,Crystal Palace,Burnley,0.42199488491048587,0.5209513151143107,0.42214142327595794,0.5209513151143107,2.5,2.26,1.53,1.65,1,0.05535355818989496,1
2021-04-05,2020-2021,Everton,Crystal Palace,0.45312499999999994,0.5253448532710747,0.45323194584708815,0.5253448532710747,2.3,2.1,1.61,1.74,1,0.04243347544830267,0
2021-04-05,2020-2021,Wolves,West Ham,0.4205128205128206,0.4866845193415397,0.42061081002766965,0.4866845193415397,2.5,2.26,1.53,1.64,1,0.05152702506917417,1
2021-04-11,2020-2021,Burnley,Newcastle,0.48825065274151447,0.3813545903351421,0.4880923570731262,0.3813545903351421,2.5,1.96,1.53,1.87,1,0.2202308926828156,1
2021-04-12,2020-2021,West Brom,Southampton,0.5300261096605744,0.3792773724587993,0.5298028753189452,0.3792773724587993,2.0,1.8,1.8,2.03,1,0.05960575063789042,1
2021-04-24,2020-2021,Liverpool,Newcastle,0.6962305986696231,0.5450558861281304,0.696006733527854,0.5450558861281304,1.53,1.37,2.5,3.14,1,0.06489030229761661,0
2021-04-26,2020-2021,Leicester,Crystal Palace,0.5428571428571429,0.5537573424829618,0.5428732842785058,0.5537573424829618,2.0,1.76,1.8,2.09,1,0.08574656855701157,1
2021-05-03,2020-2021,Burnley,West Ham,0.5581395348837209,0.5217015786422454,0.5580855762017255,0.5217015786422454,1.9,1.71,1.9,2.16,1,0.060362594783278434,1
2021-05-23,2020-2021,Man City,Everton,0.6563981042654028,0.6276590193986775,0.6563555463587275,0.6276590193986775,1.61,1.45,2.3,2.77,1,0.05673242963755132,1
2021-08-14,2021-2022,Burnley,Brighton,0.40909090909090917,0.36946908358023556,0.40909067291071527,0.36946908358023556,2.5,2.34,1.53,1.62,1,0.0227266822767882,1
2021-08-28,2021-2022,Newcastle,Southampton,0.5529715762273902,0.46444204338064343,0.5529710485151517,0.46444204338064343,1.85,1.73,2.05,2.14,1,0.022996439753030673,1
2021-09-11,2021-2022,Chelsea,Aston Villa,0.5717948717948719,0.6276825147647531,0.5717952049333425,0.6276825147647531,1.8,1.67,2.0,2.23,1,0.02923136888001654,1
