test_season,train_start,train_end,cal_season,scale_s,blend_w,eligible_matches,logloss_blend,logloss_ref,bets,roi,bankroll_end
2014-2015,2010-2011,2012-2013,2013-2014,1.131113348942919,5.9608609865491405e-06,240,0.6757660061758471,0.6757659825265591,0,0.0,1000.0
2015-2016,2011-2012,2013-2014,2014-2015,1.0480202897990971,5.9608609865491405e-06,272,0.6837801349504363,0.6837801585079349,0,0.0,1000.0
2016-2017,2012-2013,2014-2015,2015-2016,1.0761343801997003,0.004686292895622704,272,0.6788096508038428,0.6788056070973826,0,0.0,1000.0
2017-2018,2013-2014,2015-2016,2016-2017,1.1681007715911584,0.020899329510917133,306,0.6718952682823405,0.672096736164892,0,0.0,1000.0
2018-2019,2014-2015,2016-2017,2017-2018,1.0656553214753584,0.011794848767360507,210,0.6807738188635123,0.6806800776642342,0,0.0,1000.0
2019-2020,2015-2016,2017-2018,2018-2019,1.0767868783396515,5.9608609865491405e-06,306,0.6600001216395679,0.6600002641792241,16,0.03277654245165771,1001.3177978790898
2020-2021,2016-2017,2018-2019,2019-2020,1.0345142758575196,0.0014808372247284741,272,0.6998613752334151,0.6998598782799142,29,0.21546757200660466,1017.0066442950831
2021-2022,2017-2018,2019-2020,2020-2021,1.0013423210810508,5.9608609865491405e-06,306,0.6930242097338069,0.6930243530020379,21,-0.3842068830780383,996.6572048153234
2022-2023,2018-2019,2020-2021,2021-2022,1.0605316742510107,0.039302657459440754,306,0.6681880998027394,0.6675652197251247,18,-0.17604167789670236,988.7883680297575
2023-2024,2019-2020,2021-2022,2022-2023,1.0897837406805437,5.9608609865491405e-06,306,0.6448268600460259,0.6448267085645745,11,0.056103375452308146,990.314745962663
2024-2025,2020-2021,2022-2023,2023-2024,1.3269945931425455,0.002375358464752282,342,0.6775856809828116,0.6775753091538708,14,0.29095556904495806,1000.4335672434339
